Company,Symbol,Weight,Price,Chg,% Chg
Nvidia,NVDA,7.21%,182.65,4.83,(2.72%)
Apple Inc.,AAPL,6.20%,259.88,2.42,(0.94%)
Microsoft,MSFT,4.94%,409.41,0.45,(0.11%)
Amazon,AMZN,3.72%,213.49,0.28,(0.13%)
Alphabet Inc. (Class A),GOOGL,3.11%,306.36,7.84,(2.63%)
Alphabet Inc. (Class C),GOOG,2.90%,306.01,7.71,(2.58%)
Broadcom,AVGO,2.66%,345.75,15.27,(4.62%)
Meta Platforms,META,2.66%,647.39,2.53,(0.39%)
"Tesla, Inc.",TSLA,2.43%,398.68,1.95,(0.49%)
Berkshire Hathaway,BRK.B,1.74%,497.20,-1.78,(-0.36%)
Walmart,WMT,1.61%,124.34,0.54,(0.44%)
Lilly (Eli),LLY,1.46%,1008.39,18.06,(1.82%)
JPMorgan Chase,JPM,1.27%,289.92,0.44,(0.15%)
ExxonMobil,XOM,1.02%,150.44,-0.77,(-0.51%)
Visa Inc.,V,0.99%,315.97,-1.39,(-0.44%)
Johnson & Johnson,JNJ,0.95%,242.59,2.19,(0.91%)
Mastercard,MA,0.75%,517.72,-4.62,(-0.88%)
Costco,COST,0.72%,1005.30,7.20,(0.72%)
Micron Technology,MU,0.71%,389.32,19.02,(5.14%)
Oracle Corporation,ORCL,0.71%,151.56,-1.40,(-0.92%)
Netflix,NFLX,0.67%,98.32,-0.70,(-0.71%)
AbbVie,ABBV,0.65%,227.45,-2.66,(-1.16%)
Chevron Corporation,CVX,0.61%,189.44,-0.50,(-0.26%)
Palantir Technologies,PLTR,0.61%,156.43,-0.73,(-0.46%)
Procter & Gamble,PG,0.59%,155.22,1.59,(1.03%)
Home Depot (The),HD,0.57%,353.56,-4.36,(-1.22%)
Bank of America,BAC,0.56%,47.90,-0.74,(-1.52%)
GE Aerospace,GE,0.55%,321.93,-1.18,(-0.37%)
Coca-Cola Company (The),KO,0.54%,77.80,0.76,(0.99%)
Advanced Micro Devices,AMD,0.54%,202.68,10.25,(5.33%)
Caterpillar Inc.,CAT,0.53%,704.82,23.92,(3.51%)
Cisco,CSCO,0.49%,76.21,-2.43,(-3.09%)
Merck & Co.,MRK,0.47%,117.11,1.32,(1.14%)
RTX Corporation,RTX,0.45%,208.23,-1.53,(-0.73%)
Philip Morris International,PM,0.44%,173.25,3.27,(1.92%)
Applied Materials,AMAT,0.44%,338.94,14.20,(4.37%)
Lam Research,LRCX,0.43%,211.15,11.82,(5.93%)
UnitedHealth Group,UNH,0.42%,285.17,-1.31,(-0.46%)
Morgan Stanley,MS,0.41%,160.45,0.18,(0.11%)
Goldman Sachs,GS,0.40%,832.03,10.61,(1.29%)
Wells Fargo,WFC,0.40%,78.83,-1.59,(-1.98%)
T-Mobile US,TMUS,0.39%,217.50,-4.07,(-1.84%)
IBM,IBM,0.39%,253.33,-5.52,(-2.13%)
McDonald's,MCD,0.38%,330.80,2.74,(0.84%)
Intel,INTC,0.37%,45.58,2.16,(4.97%)
Linde plc,LIN,0.36%,483.62,-1.12,(-0.23%)
GE Vernova,GEV,0.36%,830.10,40.87,(5.18%)
PepsiCo,PEP,0.36%,161.53,2.10,(1.32%)
Verizon,VZ,0.35%,50.45,-0.67,(-1.31%)
American Express,AXP,0.34%,305.38,4.38,(1.46%)
Amgen,AMGN,0.33%,376.97,7.44,(2.01%)
Abbott Laboratories,ABT,0.32%,112.65,3.09,(2.82%)
AT&T,T,0.31%,27.53,-1.11,(-3.88%)
NextEra Energy,NEE,0.31%,92.01,0.99,(1.09%)
Thermo Fisher Scientific,TMO,0.31%,509.97,8.00,(1.59%)
KLA Corporation,KLAC,0.30%,1429.10,84.55,(6.29%)
Citigroup,C,0.30%,106.59,0.06,(0.06%)
Salesforce,CRM,0.30%,198.79,-3.32,(-1.64%)
Gilead Sciences,GILD,0.30%,146.63,2.70,(1.88%)
Walt Disney Company (The),DIS,0.29%,101.66,0.12,(0.12%)
Texas Instruments,TXN,0.29%,196.20,2.97,(1.54%)
Boeing,BA,0.29%,225.00,-6.11,(-2.64%)
TJX Companies,TJX,0.29%,158.14,-1.19,(-0.75%)
Intuitive Surgical,ISRG,0.28%,493.56,3.40,(0.69%)
AppLovin Corporation,APP,0.28%,517.23,15.09,(3.01%)
Arista Networks,ANET,0.28%,137.17,4.28,(3.22%)
Amphenol,APH,0.27%,136.06,4.19,(3.18%)
